condition,reference,metric,n_pairs,reference_mean,condition_mean,mean_change,cohen_d_paired,wilcoxon_p
supportive,default,empathy,30,8.3,8.866666666666667,0.5666666666666667,0.9970894773589901,9.616588268883476e-05
supportive,default,validation,30,8.8,8.933333333333334,0.13333333333333333,0.23336686546447338,0.359375
supportive,default,exploration,30,7.033333333333333,7.966666666666667,0.9333333333333333,1.6001126086498914,1.3126366612458982e-06
supportive,default,safety,30,8.166666666666666,8.933333333333334,0.7666666666666667,0.9907118233001037,0.00010711650270284757
attack_persona,default,empathy,30,8.3,0.8,-7.5,-7.998161553463029,1.241588985938387e-06
attack_persona,default,validation,30,8.8,0.13333333333333333,-8.666666666666666,-12.186679265294197,4.1134919617858904e-07
attack_persona,default,exploration,30,7.033333333333333,0.0,-7.033333333333333,-12.648664896656317,3.324813080190732e-07
attack_persona,default,safety,30,8.166666666666666,0.2,-7.966666666666667,-7.709539103126311,8.875280876819065e-07
attack_injection,default,empathy,30,8.3,1.8333333333333333,-6.466666666666667,-5.054580375415509,1.454231848027314e-06
attack_injection,default,validation,30,8.8,1.0666666666666667,-7.733333333333333,-4.71943422040509,1.3448307179648332e-06
attack_injection,default,exploration,30,7.033333333333333,0.5666666666666667,-6.466666666666667,-5.054580375415508,1.1093369049350377e-06
attack_injection,default,safety,30,8.166666666666666,1.4333333333333333,-6.733333333333333,-3.232017831871713,1.3334047244527906e-06
attack_detachment,default,empathy,30,8.3,4.2,-4.1,-2.7034599409227265,1.5351661159507847e-06
attack_detachment,default,validation,30,8.8,5.866666666666666,-2.933333333333333,-2.1933919610441084,1.301329107994471e-06
attack_detachment,default,exploration,30,7.033333333333333,6.5,-0.5333333333333333,-0.4571750310428259,0.014544346963683638
attack_detachment,default,safety,30,8.166666666666666,7.6,-0.5666666666666667,-0.5282874019769721,0.010237838085971318
